strikePrice,expiryDate,PE.strikePrice,PE.expiryDate,PE.underlying,PE.identifier,PE.openInterest,PE.changeinOpenInterest,PE.pchangeinOpenInterest,PE.totalTradedVolume,PE.impliedVolatility,PE.lastPrice,PE.change,PE.pChange,PE.totalBuyQuantity,PE.totalSellQuantity,PE.bidQty,PE.bidprice,PE.askQty,PE.askPrice,PE.underlyingValue,CE.strikePrice,CE.expiryDate,CE.underlying,CE.identifier,CE.openInterest,CE.changeinOpenInterest,CE.pchangeinOpenInterest,CE.totalTradedVolume,CE.impliedVolatility,CE.lastPrice,CE.change,CE.pChange,CE.totalBuyQuantity,CE.totalSellQuantity,CE.bidQty,CE.bidprice,CE.askQty,CE.askPrice,CE.underlyingValue
19000,27-Jun-2024,19000.0,27-Jun-2024,NIFTY,OPTIDXNIFTY27-06-2024PE19000.00,15938.0,237.0,1.5094579963059678,1661.0,21.11,22.05,0.3000000000000007,1.3793103448275894,12800.0,9950.0,800.0,21.7,300.0,22.4,22513.7,19000.0,27-Jun-2024,NIFTY,OPTIDXNIFTY27-06-2024CE19000.00,7724.0,14.0,0.1815823605706874,45.0,0.0,3798.35,2.75,0.07245231320476342,1750.0,1700.0,200.0,3773.1,50.0,3841.4,22513.7
19000,26-Sep-2024,19000.0,26-Sep-2024,NIFTY,OPTIDXNIFTY26-09-2024PE19000.00,140.0,30.0,27.272727272727273,37.0,17.95,40.1,-1.8500000000000014,-4.4100119189511355,1900.0,6250.0,600.0,40.1,900.0,42.95,22513.7,,,,,,,,,,,,,,,,,,,
19000,26-Dec-2024,19000.0,26-Dec-2024,NIFTY,OPTIDXNIFTY26-12-2024PE19000.00,8177.0,56.0,0.6895702499692156,492.0,17.41,63.35,0.0,0.0,26900.0,6500.0,100.0,63.25,50.0,66.0,22513.7,19000.0,26-Dec-2024,NIFTY,OPTIDXNIFTY26-12-2024CE19000.00,1509.0,-1.0,-0.06622516556291391,6.0,0.0,4400.0,-54.600000000000364,-1.2256992771517163,1150.0,550.0,300.0,4402.0,50.0,4658.15,22513.7
19000,27-Mar-2025,19000.0,27-Mar-2025,NIFTY,OPTIDXNIFTY27-03-2025PE19000.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,750.0,78.3,0.0,0.0,22513.7,,,,,,,,,,,,,,,,,,,
19000,26-Jun-2025,19000.0,26-Jun-2025,NIFTY,OPTIDXNIFTY26-06-2025PE19000.00,12000.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,950.0,0.0,950.0,103.7,0.0,0.0,22513.7,,,,,,,,,,,,,,,,,,,
19000,24-Dec-2025,19000.0,24-Dec-2025,NIFTY,OPTIDXNIFTY24-12-2025PE19000.00,61.0,0.0,0.0,0.0,0.0,106.7,0.0,0.0,600.0,100.0,600.0,138.55,50.0,299.95,22513.7,19000.0,24-Dec-2025,NIFTY,OPTIDXNIFTY24-12-2025CE19000.00,63.0,0.0,0.0,0.0,0.0,5615.0,0.0,0.0,150.0,50.0,50.0,5700.0,50.0,6300.0,22513.7
19000,25-Jun-2026,19000.0,25-Jun-2026,NIFTY,OPTIDXNIFTY25-06-2026PE19000.00,2.0,0.0,0.0,0.0,0.0,140.45,0.0,0.0,550.0,0.0,550.0,159.95,0.0,0.0,22513.7,,,,,,,,,,,,,,,,,,,
19000,31-Dec-2026,19000.0,31-Dec-2026,NIFTY,OPTIDXNIFTY31-12-2026PE19000.00,65.0,0.0,0.0,0.0,0.0,139.95,0.0,0.0,550.0,50.0,550.0,171.85,50.0,375.0,22513.7,19000.0,31-Dec-2026,NIFTY,OPTIDXNIFTY31-12-2026CE19000.00,4.0,0.0,0.0,0.0,0.0,6000.0,0.0,0.0,50.0,0.0,50.0,5670.0,0.0,0.0,22513.7
19000,24-Jun-2027,19000.0,24-Jun-2027,NIFTY,OPTIDXNIFTY24-06-2027PE19000.00,5.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,1250.0,0.0,550.0,176.3,0.0,0.0,22513.7,19000.0,24-Jun-2027,NIFTY,OPTIDXNIFTY24-06-2027CE19000.00,2.0,0.0,0.0,0.0,0.0,3701.25,0.0,0.0,100.0,100.0,100.0,6150.0,100.0,7500.0,22513.7
19000,30-Dec-2027,19000.0,30-Dec-2027,NIFTY,OPTIDXNIFTY30-12-2027PE19000.00,14.0,0.0,0.0,0.0,0.0,760.0,0.0,0.0,1050.0,0.0,550.0,176.2,0.0,0.0,22513.7,,,,,,,,,,,,,,,,,,,
19000,29-Jun-2028,19000.0,29-Jun-2028,NIFTY,OPTIDXNIFTY29-06-2028PE19000.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,0.0,550.0,172.9,0.0,0.0,22513.7,,,,,,,,,,,,,,,,,,,
19000,28-Dec-2028,19000.0,28-Dec-2028,NIFTY,OPTIDXNIFTY28-12-2028PE19000.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650.0,0.0,550.0,167.55,0.0,0.0,22513.7,,,,,,,,,,,,,,,,,,,
19500,24-Dec-2025,,,,,,,,,,,,,,,,,,,,19500.0,24-Dec-2025,NIFTY,OPTIDXNIFTY24-12-2025CE19500.00,28.0,0.0,0.0,0.0,0.0,4500.0,0.0,0.0,50.0,0.0,50.0,4700.0,0.0,0.0,22513.7
19600,25-Apr-2024,19600.0,25-Apr-2024,NIFTY,OPTIDXNIFTY25-04-2024PE19600.00,3856.0,25.0,0.6525711302531976,342.0,24.66,2.45,-0.04999999999999982,-1.9999999999999927,83300.0,10950.0,200.0,2.55,400.0,2.85,22513.7,19600.0,25-Apr-2024,NIFTY,OPTIDXNIFTY25-04-2024CE19600.00,3959.0,5.0,0.12645422357106728,27.0,0.0,2988.0,-9.150000000000091,-0.30529002552425105,4800.0,4950.0,250.0,2984.5,200.0,2999.95,22513.7
19650,25-Apr-2024,19650.0,25-Apr-2024,NIFTY,OPTIDXNIFTY25-04-2024PE19650.00,1.0,1.0,0.0,1.0,24.85,3.0,-54.1,-94.7460595446585,33650.0,0.0,1000.0,2.1,0.0,0.0,22513.7,19650.0,25-Apr-2024,NIFTY,OPTIDXNIFTY25-04-2024CE19650.00,14.0,0.0,0.0,0.0,0.0,2990.15,0.0,0.0,6050.0,4250.0,1500.0,2671.9,1500.0,3062.2,22513.7
19700,25-Apr-2024,19700.0,25-Apr-2024,NIFTY,OPTIDXNIFTY25-04-2024PE19700.00,62.0,9.0,16.9811320754717,126.0,24.15,2.7,-0.1499999999999999,-5.263157894736839,32150.0,2200.0,100.0,2.4,1200.0,3.55,22513.7,19700.0,25-Apr-2024,NIFTY,OPTIDXNIFTY25-04-2024CE19700.00,79.0,0.0,0.0,0.0,0.0,2935.25,0.0,0.0,6050.0,6050.0,1500.0,2632.7,1500.0,2978.15,22513.7
19750,25-Apr-2024,19750.0,25-Apr-2024,NIFTY,OPTIDXNIFTY25-04-2024PE19750.00,32.0,2.0,6.666666666666667,2.0,24.05,3.0,-3.55,-54.19847328244275,38950.0,0.0,800.0,2.1,0.0,0.0,22513.7,19750.0,25-Apr-2024,NIFTY,OPTIDXNIFTY25-04-2024CE19750.00,10.0,0.0,0.0,0.0,0.0,2891.15,0.0,0.0,6050.0,4250.0,1500.0,2577.95,1500.0,2960.0,22513.7
19800,25-Apr-2024,19800.0,25-Apr-2024,NIFTY,OPTIDXNIFTY25-04-2024PE19800.00,34.0,20.0,142.85714285714286,139.0,23.93,3.3,0.2999999999999998,9.999999999999993,33800.0,1450.0,2650.0,2.5,450.0,3.0,22513.7,19800.0,25-Apr-2024,NIFTY,OPTIDXNIFTY25-04-2024CE19800.00,135.0,-1.0,-0.7352941176470589,3.0,0.0,2750.0,-164.75,-5.652285787803414,3250.0,6050.0,1500.0,2591.35,1500.0,2909.95,22513.7
19850,25-Apr-2024,19850.0,25-Apr-2024,NIFTY,OPTIDXNIFTY25-04-2024PE19850.00,115.0,95.0,475.0,151.0,23.12,2.85,0.5500000000000003,23.913043478260885,33100.0,2000.0,550.0,2.3,1000.0,3.0,22513.7,19850.0,25-Apr-2024,NIFTY,OPTIDXNIFTY25-04-2024CE19850.00,48.0,0.0,0.0,0.0,0.0,2791.55,0.0,0.0,6050.0,4550.0,1500.0,2480.2,1000.0,2837.0,22513.7
19900,25-Apr-2024,19900.0,25-Apr-2024,NIFTY,OPTIDXNIFTY25-04-2024PE19900.00,152.0,-18.0,-10.588235294117647,569.0,22.73,2.85,-0.10000000000000009,-3.3898305084745792,40600.0,2000.0,350.0,2.75,400.0,3.4,22513.7,19900.0,25-Apr-2024,NIFTY,OPTIDXNIFTY25-04-2024CE19900.00,99.0,1.0,1.0204081632653061,1.0,0.0,2685.0,-41.84999999999991,-1.5347378843720745,6400.0,5000.0,1500.0,2629.9,300.0,2727.55,22513.7
19950,25-Apr-2024,19950.0,25-Apr-2024,NIFTY,OPTIDXNIFTY25-04-2024PE19950.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31700.0,1000.0,1000.0,2.5,1000.0,3.0,22513.7,19950.0,25-Apr-2024,NIFTY,OPTIDXNIFTY25-04-2024CE19950.00,9.0,0.0,0.0,0.0,0.0,2692.4,0.0,0.0,6050.0,4250.0,1500.0,2377.45,1500.0,2731.45,22513.7
20000,25-Apr-2024,20000.0,25-Apr-2024,NIFTY,OPTIDXNIFTY25-04-2024PE20000.00,32118.0,-616.0,-1.881835400501008,10283.0,22.16,3.1,0.5,19.23076923076923,96000.0,26900.0,500.0,2.8,350.0,3.0,22513.7,20000.0,25-Apr-2024,NIFTY,OPTIDXNIFTY25-04-2024CE20000.00,26712.0,-1353.0,-4.820951362907536,2718.0,0.0,2596.2,-6.25,-0.2401583123595074,14450.0,12900.0,50.0,2592.95,50.0,2609.0,22513.7
20000,27-Jun-2024,20000.0,27-Jun-2024,NIFTY,OPTIDXNIFTY27-06-2024PE20000.00,31057.0,2102.0,7.259540666551546,4635.0,18.71,45.35,4.600000000000001,11.288343558282211,32750.0,10750.0,350.0,45.15,100.0,45.45,22513.7,20000.0,27-Jun-2024,NIFTY,OPTIDXNIFTY27-06-2024CE20000.00,5840.0,-27.0,-0.4602011249360832,114.0,0.0,2831.9,-8.75,-0.30802809216200516,3450.0,2000.0,650.0,2826.5,850.0,2917.95,22513.7
20000,26-Sep-2024,20000.0,26-Sep-2024,NIFTY,OPTIDXNIFTY26-09-2024PE20000.00,280.0,99.0,54.69613259668508,256.0,16.49,75.85,4.699999999999989,6.605762473647207,2100.0,5450.0,50.0,75.15,900.0,78.95,22513.7,,,,,,,,,,,,,,,,,,,
20000,26-Dec-2024,20000.0,26-Dec-2024,NIFTY,OPTIDXNIFTY26-12-2024PE20000.00,10161.0,-101.0,-0.9842136035860456,692.0,16.49,114.9,1.75,1.5466195315952276,9600.0,19650.0,100.0,113.15,50.0,115.5,22513.7,20000.0,26-Dec-2024,NIFTY,OPTIDXNIFTY26-12-2024CE20000.00,1738.0,33.0,1.935483870967742,62.0,0.0,3615.65,3.0,0.08304153460755954,350.0,5150.0,300.0,3554.2,1800.0,3673.7,22513.7
20000,27-Mar-2025,20000.0,27-Mar-2025,NIFTY,OPTIDXNIFTY27-03-2025PE20000.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,750.0,85.05,0.0,0.0,22513.7,,,,,,,,,,,,,,,,,,,
20000,26-Jun-2025,20000.0,26-Jun-2025,NIFTY,OPTIDXNIFTY26-06-2025PE20000.00,9140.0,0.0,0.0,0.0,0.0,270.0,0.0,0.0,1200.0,50.0,1000.0,217.1,50.0,585.0,22513.7,,,,,,,,,,,,,,,,,,,
20000,24-Dec-2025,20000.0,24-Dec-2025,NIFTY,OPTIDXNIFTY24-12-2025PE20000.00,89.0,-2.0,-2.197802197802198,10.0,19.47,315.0,8.949999999999989,2.9243587649076908,1200.0,200.0,400.0,315.0,50.0,331.95,22513.7,20000.0,24-Dec-2025,NIFTY,OPTIDXNIFTY24-12-2025CE20000.00,6.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,100.0,0.0,50.0,4500.0,0.0,0.0,22513.7
20000,25-Jun-2026,20000.0,25-Jun-2026,NIFTY,OPTIDXNIFTY25-06-2026PE20000.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,0.0,550.0,277.1,0.0,0.0,22513.7,,,,,,,,,,,,,,,,,,,
20000,31-Dec-2026,20000.0,31-Dec-2026,NIFTY,OPTIDXNIFTY31-12-2026PE20000.00,101.0,0.0,0.0,0.0,0.0,360.0,0.0,0.0,2500.0,100.0,600.0,283.4,50.0,420.0,22513.7,,,,,,,,,,,,,,,,,,,
