Symbol
360ONE
ADANIPORTS
ARE&M
ASHOKLEY
BALMLAWRIE
BEL
BEPL
BHEL
BPCL
CDSL
CENTRALBK
CESC
CHENNPETRO
COALINDIA
DIVISLAB
ELECTCAST
EQUITASBNK
EXIDEIND
GABRIEL
GATEWAY
GMRINFRA
GRINFRA
GSPL
HAVELLS
HBLPOWER
HFCL
HINDALCO
HINDCOPPER
HINDPETRO
HUDCO
IDFC
IEX
IIFLSEC
INDUSTOWER
IPCALAB
IRB
IRCON
IREDA
IRFC
ITC
IVC
JIOFIN
JUBLFOOD
MAFANG
MON100
MONQ50
MOTHERSON
NATIONALUM
NMDC
NTPC
OCCL
OIL
ONGC
PFC
PIIND
PNB
POWERGRID
PRICOLLTD
PTC
RCF
RECLTD
RVNL
SAIL
SJVN
TATACHEM
TATAMOTORS
TATAPOWER
TATASTEEL
TRIDENT
UNOMINDA
VEDL
YESBANK
