timestamp,price,signal,MACD,Signal_Line,trend,profit_loss
2024-03-01 10:37:00,22193.5,sell,-0.03854154298096546,0.8906774978143105,down,
2024-03-01 10:53:00,22192.4,buy,0.1584206088737119,-0.6872987039399214,up,1.0999999999985448
2024-03-01 10:59:00,22172.45,sell,-0.6717809459805721,0.1395165629770668,down,-19.950000000000728
2024-03-01 11:09:00,22191.2,buy,0.1470548290271836,-0.3588356170561809,up,-18.75
2024-03-01 12:03:00,22275.85,sell,-0.21151155601182836,1.422534063176431,down,84.64999999999782
2024-03-01 12:14:00,22286.45,buy,0.2042052678843902,-0.16577408535556284,up,-10.600000000002183
2024-03-01 12:21:00,22288.0,buy,0.18665805849741446,-0.13834189333067706,up,-1.5499999999992724
2024-03-01 12:48:00,22288.9,sell,-0.09095060122490395,1.101789657153328,down,0.9000000000014552
2024-03-01 13:11:00,22291.0,sell,-0.644737864498893,0.37360209003718314,down,2.099999999998545
2024-03-01 13:21:00,22307.55,buy,0.09926870596973458,-0.9818609366203067,up,-16.549999999999272
2024-03-01 13:43:00,22304.5,sell,-0.014447628764173714,0.7974491308137422,down,-3.0499999999992724
2024-03-01 14:35:00,22321.75,sell,-0.19875594769473537,0.3792417880168034,down,17.25
2024-03-01 14:43:00,22331.8,buy,0.15870372921563103,-0.2590285485819986,up,-10.049999999999272
2024-03-01 15:14:00,22329.1,sell,-0.4206369978383009,0.7364156570160876,down,-2.7000000000007276
2024-03-02 09:15:00,22394.55,buy,2.4068323727296956,-0.5695430764638829,up,-65.45000000000073
2024-03-02 09:52:00,22392.75,sell,-0.15550136502861278,1.2759632421009208,down,-1.7999999999992724
2024-03-02 09:56:00,22397.15,sell,-0.07673151482595131,0.5160690730372122,down,4.400000000001455
2024-03-02 11:32:00,22399.55,buy,0.011540054252691334,-0.03194305194410226,up,-2.399999999997817
2024-03-02 11:33:00,22394.25,sell,-0.18743775614348124,-0.06304199278397807,down,-5.299999999999272
2024-03-02 11:38:00,22399.45,buy,0.10827802273706766,-0.09527292539911997,up,-5.200000000000728
2024-03-02 11:39:00,22392.8,sell,-0.17639185450025252,-0.11149671121934648,down,-6.650000000001455
2024-03-02 11:41:00,22397.75,buy,0.01417465435952181,-0.0741430790821057,up,-4.950000000000728
2024-03-02 11:43:00,22394.8,sell,-0.09757401948445477,-0.05889713030884202,down,-2.9500000000007276
2024-03-04 09:15:00,22400.5,buy,0.9602329244771681,0.005589785906030403,up,-5.700000000000728
2024-03-04 09:29:00,22381.05,sell,-0.33414374279163894,1.854877423432086,down,-19.450000000000728
2024-03-04 10:02:00,22385.5,buy,0.2586572648069705,-0.7516259164336585,up,-4.450000000000728
2024-03-04 10:47:00,22418.45,sell,-0.22193353387410752,1.0061175956749198,down,32.95000000000073
2024-03-04 11:14:00,22404.55,buy,0.47048081750108395,-1.015834357478821,up,13.900000000001455
2024-03-04 11:29:00,22392.75,sell,-0.29385316400657757,0.3101615187887052,down,-11.799999999999272
2024-03-04 11:37:00,22407.5,buy,0.15146806657867273,-0.16747638133755777,up,-14.75
2024-03-04 11:55:00,22401.5,sell,-0.11355918037952506,0.905881690362871,down,-6.0
2024-03-04 12:14:00,22403.3,buy,0.07791823257502983,-0.23501612341815767,up,-1.7999999999992724
2024-03-04 12:42:00,22409.75,sell,-0.3270335911947768,0.5725752934027224,down,6.450000000000728
2024-03-04 13:02:00,22400.65,buy,0.1747697033752047,-1.4282245710650956,up,9.099999999998545
2024-03-04 13:26:00,22402.0,sell,-0.04759764091068064,0.612858307228264,down,1.3499999999985448
2024-03-04 13:36:00,22408.55,buy,0.15602794034202816,-0.04118020600198767,up,-6.549999999999272
2024-03-04 13:45:00,22402.25,sell,-0.12607744388878928,0.09880353984243967,down,-6.299999999999272
2024-03-04 14:06:00,22406.3,buy,0.2712420172756538,-0.8244543877737907,up,-4.049999999999272
2024-03-04 14:32:00,22419.5,sell,-0.11004457185117644,0.5821759058326375,down,13.200000000000728
2024-03-04 14:52:00,22414.6,buy,0.11059080887571326,-0.47917631991825776,up,4.900000000001455
2024-03-04 14:56:00,22404.4,sell,-0.2099897497719212,-0.13320589521075232,down,-10.19999999999709
2024-03-04 15:00:00,22414.85,buy,0.1839436013942759,-0.058697425275989513,up,-10.44999999999709
2024-03-04 15:13:00,22408.1,sell,-0.43049539277126314,0.43565865112288954,down,-6.75
2024-03-04 15:27:00,22409.75,buy,0.3812690207232663,-1.2243893254037663,up,-1.6500000000014552
2024-03-05 09:41:00,22376.05,buy,0.08677955534949433,-0.554040633966314,up,33.70000000000073
2024-03-05 09:47:00,22362.15,sell,-0.4413386248234019,-0.046873136137261594,down,-13.899999999997817
2024-03-05 10:40:00,22310.0,buy,0.42708579102691147,-1.4288198171993973,up,52.150000000001455
2024-03-05 10:50:00,22298.2,sell,-0.13890805175105925,0.37061704975549714,down,-11.799999999999272
2024-03-05 10:56:00,22305.95,buy,0.06688839510388789,-0.1512796803018704,up,-7.75
2024-03-05 11:04:00,22298.4,sell,-0.1252855770289898,0.3672328760862874,down,-7.549999999999272
2024-03-05 11:29:00,22295.05,buy,0.5278779795698938,-0.8196502642438082,up,3.350000000002183
2024-03-05 12:16:00,22334.1,sell,-0.22755420117027825,0.9278941297654388,down,39.04999999999927
2024-03-05 12:39:00,22332.0,buy,0.30654941393004265,-1.0369184287748043,up,2.099999999998545
2024-03-05 13:18:00,22380.9,sell,-0.11115437292392016,0.9365412671359183,down,48.900000000001455
2024-03-05 13:23:00,22393.15,buy,0.2545122013762011,0.18758220390659391,up,-12.25
