timestamp,price,signal,MACD,Signal_Line,trend,stop_loss,target,profit_loss,index_price,ATM_strike,entry_price,stoploss,exit,profit_and_loss,MACD_trend
2024-04-19 14:26:00,435.15,buy,1.8927485094694134,0.37521544206726504,up,408.63012980742155,455.15,,435.15,22050,435.15,408.63012980742155,588.85,153.70000000000005,up
2024-05-03 12:34:00,588.85,sell,-0.1850998757247453,1.0754373162195545,down,593.2648257489475,568.85,153.70000000000005,588.85,22050,588.85,593.2648257489475,598.8,9.949999999999932,down
2024-05-03 12:42:00,598.8,buy,0.3426677051038496,-0.06050886222441501,up,593.1726848519247,618.8,-9.949999999999932,598.8,22050,598.8,593.1726848519247,598.4,-0.39999999999997726,up
2024-05-03 12:53:00,598.4,sell,-0.17215860948863337,1.3712879736852719,down,603.7315794035749,578.4,-0.39999999999997726,598.4,22050,598.4,603.7315794035749,525.95,-72.44999999999993,down
2024-05-03 14:30:00,525.95,buy,1.991782794846074,0.3706917060217518,up,497.91032468281463,545.95,72.44999999999993,525.95,22050,525.95,497.91032468281463,539.55,13.599999999999909,up
2024-05-06 09:40:00,539.55,sell,-1.68893421863811,3.0906732349597927,down,603.3056273670851,519.55,13.599999999999909,539.55,22050,539.55,603.3056273670851,553.2,13.650000000000091,down
2024-05-06 10:23:00,553.2,buy,0.6395080937820694,-0.24263173677987673,up,541.334713389976,573.2,-13.650000000000091,553.2,22050,553.2,541.334713389976,565.25,12.049999999999955,up
2024-05-06 11:11:00,565.25,sell,-0.47033910275183644,0.8987956290935296,down,578.8292828489135,545.25,12.049999999999955,565.25,22050,565.25,578.8292828489135,551.9,-13.350000000000023,down
2024-05-06 11:43:00,551.9,buy,0.048978055365978435,-0.6151790927338372,up,550.7476424408048,571.9,13.350000000000023,551.9,22050,551.9,550.7476424408048,570.75,18.850000000000023,up
2024-05-06 12:21:00,570.75,sell,-0.19844563167850993,0.48894048986564864,down,573.6572429160118,550.75,18.850000000000023,570.75,22050,570.75,573.6572429160118,526.8,-43.950000000000045,down
2024-05-06 13:37:00,526.8,buy,0.28468753663389634,-1.104085442535664,up,514.3348646591734,546.8,43.950000000000045,526.8,22050,526.8,514.3348646591734,513.65,-13.149999999999977,up
2024-05-06 14:01:00,513.65,sell,-0.9081094348574652,0.5613919505415271,down,527.101396492812,493.65,-13.149999999999977,513.65,22050,513.65,527.101396492812,531.15,17.5,down
