Position Type,Entry Price,Entry Time,Exit Price,Profit/Loss
Long,22704.55,2024-04-10 13:03:00,22458.0,-246.54999999999927
Short,22716.7,2024-04-10 13:51:00,22458.0,258.7000000000007
Long,22733.95,2024-04-10 13:58:00,22458.0,-275.9500000000007
Short,22721.3,2024-04-10 14:14:00,22458.0,263.2999999999993
Long,22736.3,2024-04-10 14:24:00,22458.0,-278.2999999999993
Short,22741.85,2024-04-10 15:18:00,22458.0,283.84999999999854
Long,22660.55,2024-04-12 10:32:00,22458.0,-202.54999999999927
Short,22660.4,2024-04-12 12:16:00,22458.0,202.40000000000146
Long,22584.25,2024-04-12 13:28:00,22458.0,-126.25
Short,22562.6,2024-04-12 13:40:00,22458.0,104.59999999999854
Long,22582.35,2024-04-12 13:52:00,22458.0,-124.34999999999854
Short,22567.75,2024-04-12 14:04:00,22458.0,109.75
Long,22343.85,2024-04-15 09:58:00,22458.0,114.15000000000146
Short,22376.15,2024-04-15 11:11:00,22458.0,-81.84999999999854
Long,22383.45,2024-04-15 11:40:00,22458.0,74.54999999999927
Short,22372.6,2024-04-15 11:44:00,22458.0,-85.40000000000146
Long,22387.4,2024-04-15 12:00:00,22458.0,70.59999999999854
Short,22380.2,2024-04-15 12:35:00,22458.0,-77.79999999999927
Long,22350.6,2024-04-15 13:50:00,22458.0,107.40000000000146
Short,22336.3,2024-04-15 14:03:00,22458.0,-121.70000000000073
Long,22348.7,2024-04-15 14:09:00,22458.0,109.29999999999927
Short,22339.45,2024-04-15 14:11:00,22458.0,-118.54999999999927
Long,22201.55,2024-04-16 10:00:00,22458.0,256.4500000000007
Short,22189.65,2024-04-16 10:01:00,22458.0,-268.34999999999854
Long,22197.2,2024-04-16 10:06:00,22458.0,260.7999999999993
Short,22176.25,2024-04-16 10:15:00,22458.0,-281.75
Long,22203.25,2024-04-16 10:32:00,22458.0,254.75
Short,22187.45,2024-04-16 11:03:00,22458.0,-270.5499999999993
Long,22198.3,2024-04-16 11:13:00,22458.0,259.7000000000007
Short,22186.55,2024-04-16 11:28:00,22458.0,-271.4500000000007
Long,22121.2,2024-04-16 13:40:00,22458.0,336.7999999999993
Short,22125.7,2024-04-16 14:24:00,22458.0,-332.2999999999993
Long,22145.0,2024-04-16 14:33:00,22458.0,313.0
Short,22134.25,2024-04-16 14:43:00,22458.0,-323.75
Long,22138.45,2024-04-16 15:08:00,22458.0,319.5499999999993
Short,22195.25,2024-04-18 09:43:00,22458.0,-262.75
Long,22215.7,2024-04-18 10:04:00,22458.0,242.29999999999927
Short,22183.2,2024-04-18 10:07:00,22458.0,-274.7999999999993
Long,22195.65,2024-04-18 10:36:00,22458.0,262.34999999999854
Short,22180.9,2024-04-18 10:50:00,22458.0,-277.09999999999854
Long,22197.95,2024-04-18 11:00:00,22458.0,260.0499999999993
Short,22298.6,2024-04-18 12:47:00,22458.0,-159.40000000000146
Long,22170.05,2024-04-18 14:17:00,22458.0,287.9500000000007
Short,22132.0,2024-04-18 14:27:00,22458.0,-326.0
Long,22039.05,2024-04-18 15:25:00,22458.0,418.9500000000007
Short,21810.55,2024-04-19 09:15:00,22458.0,-647.4500000000007
