date,open,high,low,close,volume
2024-05-02 09:15:00,49262.0,49521.3,49221.45,49465.0,0
2024-05-02 09:20:00,49468.65,49468.65,49370.6,49437.95,0
2024-05-02 09:25:00,49439.1,49452.1,49377.15,49411.45,0
2024-05-02 09:30:00,49410.2,49477.7,49382.5,49413.2,0
2024-05-02 09:35:00,49414.0,49461.8,49379.65,49391.6,0
2024-05-02 09:40:00,49390.25,49430.4,49366.4,49429.35,0
2024-05-02 09:45:00,49424.6,49465.25,49379.65,49389.6,0
2024-05-02 09:50:00,49390.6,49394.2,49292.4,49384.75,0
2024-05-02 09:55:00,49376.75,49452.7,49351.9,49426.2,0
2024-05-02 10:00:00,49421.65,49451.4,49412.9,49446.3,0
2024-05-02 10:05:00,49442.75,49522.6,49419.05,49517.8,0
2024-05-02 10:10:00,49515.85,49529.35,49457.2,49476.05,0
2024-05-02 10:15:00,49465.1,49475.65,49430.3,49440.85,0
2024-05-02 10:20:00,49439.75,49444.45,49379.65,49395.2,0
2024-05-02 10:25:00,49387.55,49416.35,49369.35,49407.2,0
2024-05-02 10:30:00,49405.9,49440.25,49381.25,49407.6,0
2024-05-02 10:35:00,49404.05,49416.85,49370.5,49385.3,0
2024-05-02 10:40:00,49383.3,49397.6,49344.45,49390.2,0
2024-05-02 10:45:00,49385.05,49392.05,49347.25,49380.25,0
2024-05-02 10:50:00,49377.6,49420.1,49355.0,49400.3,0
2024-05-02 10:55:00,49388.6,49414.05,49370.0,49390.2,0
2024-05-02 11:00:00,49383.1,49406.35,49352.35,49376.8,0
2024-05-02 11:05:00,49369.5,49382.65,49232.0,49263.75,0
2024-05-02 11:10:00,49260.25,49281.25,49239.3,49249.25,0
2024-05-02 11:15:00,49251.9,49275.95,49151.1,49187.6,0
2024-05-02 11:20:00,49188.7,49210.25,49123.6,49147.25,0
2024-05-02 11:25:00,49137.6,49292.8,49136.25,49292.8,0
2024-05-02 11:30:00,49287.85,49350.45,49244.05,49310.85,0
2024-05-02 11:35:00,49305.8,49330.1,49288.25,49310.3,0
2024-05-02 11:40:00,49306.95,49323.55,49247.9,49256.95,0
2024-05-02 11:45:00,49252.05,49270.8,49226.3,49264.6,0
2024-05-02 11:50:00,49259.35,49274.6,49231.45,49250.1,0
2024-05-02 11:55:00,49243.95,49248.0,49208.15,49227.95,0
2024-05-02 12:00:00,49226.8,49253.55,49224.2,49237.15,0
2024-05-02 12:05:00,49240.85,49263.1,49204.4,49214.45,0
2024-05-02 12:10:00,49208.05,49257.75,49197.35,49254.35,0
2024-05-02 12:15:00,49251.15,49257.55,49225.4,49233.45,0
2024-05-02 12:20:00,49229.7,49245.1,49212.6,49223.15,0
2024-05-02 12:25:00,49221.5,49292.2,49209.5,49280.8,0
2024-05-02 12:30:00,49275.75,49314.35,49270.9,49288.25,0
2024-05-02 12:35:00,49283.05,49298.5,49237.95,49248.4,0
2024-05-02 12:40:00,49244.5,49263.45,49221.5,49237.5,0
2024-05-02 12:45:00,49237.65,49261.3,49178.15,49234.6,0
2024-05-02 12:50:00,49231.1,49242.4,49193.3,49223.25,0
2024-05-02 12:55:00,49218.2,49262.5,49218.2,49237.7,0
2024-05-02 13:00:00,49239.95,49255.2,49234.1,49250.0,0
2024-05-02 13:05:00,49248.45,49280.9,49229.95,49276.85,0
2024-05-02 13:10:00,49276.85,49279.5,49244.6,49259.0,0
2024-05-02 13:15:00,49258.5,49259.75,49226.25,49247.75,0
2024-05-02 13:20:00,49252.1,49269.2,49236.95,49256.4,0
2024-05-02 13:25:00,49251.8,49313.1,49247.95,49294.85,0
2024-05-02 13:30:00,49292.55,49308.95,49275.8,49292.2,0
2024-05-02 13:35:00,49285.3,49295.75,49245.75,49283.4,0
2024-05-02 13:40:00,49282.0,49296.15,49265.6,49280.15,0
2024-05-02 13:45:00,49275.9,49313.55,49256.0,49309.7,0
2024-05-02 13:50:00,49311.05,49344.9,49300.55,49313.55,0
2024-05-02 13:55:00,49308.9,49317.55,49253.25,49273.6,0
2024-05-02 14:00:00,49265.95,49285.6,49214.6,49257.5,0
2024-05-02 14:05:00,49255.05,49303.55,49236.0,49288.1,0
2024-05-02 14:10:00,49286.9,49299.15,49249.35,49254.1,0
2024-05-02 14:15:00,49251.6,49275.55,49193.45,49209.1,0
2024-05-02 14:20:00,49205.95,49230.25,49182.2,49211.65,0
2024-05-02 14:25:00,49214.85,49228.35,49184.6,49205.45,0
2024-05-02 14:30:00,49205.4,49258.35,49185.3,49228.1,0
2024-05-02 14:35:00,49231.3,49234.5,49180.5,49186.1,0
2024-05-02 14:40:00,49189.7,49216.5,49174.3,49199.85,0
2024-05-02 14:45:00,49199.55,49231.85,49179.4,49187.9,0
2024-05-02 14:50:00,49191.3,49243.05,49186.15,49224.3,0
2024-05-02 14:55:00,49223.0,49255.4,49202.15,49202.65,0
2024-05-02 15:00:00,49202.2,49258.85,49176.75,49215.35,0
2024-05-02 15:05:00,49202.8,49261.45,49180.7,49252.6,0
2024-05-02 15:10:00,49248.85,49253.55,49216.75,49242.65,0
2024-05-02 15:15:00,49237.65,49265.6,49222.6,49255.6,0
2024-05-02 15:20:00,49251.8,49263.05,49217.85,49244.4,0
2024-05-02 15:25:00,49236.65,49261.65,49220.45,49243.55,0
2024-05-03 09:15:00,49375.05,49580.65,49373.2,49542.9,0
2024-05-03 09:20:00,49539.35,49607.75,49526.25,49582.55,0
2024-05-03 09:25:00,49579.75,49596.75,49540.6,49579.7,0
2024-05-03 09:30:00,49583.6,49588.65,49496.9,49509.45,0
2024-05-03 09:35:00,49507.45,49520.9,49440.8,49448.25,0
2024-05-03 09:40:00,49451.5,49477.95,49426.85,49469.75,0
2024-05-03 09:45:00,49469.55,49470.0,49422.55,49431.8,0
2024-05-03 09:50:00,49431.85,49447.75,49397.05,49425.5,0
2024-05-03 09:55:00,49426.65,49451.4,49381.9,49418.15,0
2024-05-03 10:00:00,49417.15,49438.25,49391.9,49398.85,0
2024-05-03 10:05:00,49396.25,49415.0,49289.0,49325.35,0
2024-05-03 10:10:00,49321.65,49326.9,49246.05,49253.7,0
2024-05-03 10:15:00,49253.3,49299.45,49224.25,49260.85,0
2024-05-03 10:20:00,49258.75,49279.3,49130.8,49176.75,0
2024-05-03 10:25:00,49177.35,49201.4,49149.1,49177.8,0
2024-05-03 10:30:00,49177.9,49239.0,49143.8,49208.65,0
2024-05-03 10:35:00,49211.45,49233.6,49112.1,49116.9,0
2024-05-03 10:40:00,49129.7,49129.9,49048.35,49109.3,0
2024-05-03 10:45:00,49113.15,49131.3,49053.7,49103.55,0
2024-05-03 10:50:00,49103.3,49152.35,49085.2,49111.05,0
2024-05-03 10:55:00,49107.55,49128.8,49022.95,49032.75,0
2024-05-03 11:00:00,49031.85,49065.7,49005.3,49042.75,0
2024-05-03 11:05:00,49040.6,49092.35,49040.0,49087.35,0
2024-05-03 11:10:00,49086.3,49117.25,49061.35,49096.6,0
2024-05-03 11:15:00,49093.2,49099.35,49016.35,49023.1,0
2024-05-03 11:20:00,49020.05,49047.1,48917.95,48968.95,0
