strikePrice,expiryDate,PE.strikePrice,PE.expiryDate,PE.underlying,PE.identifier,PE.openInterest,PE.changeinOpenInterest,PE.pchangeinOpenInterest,PE.totalTradedVolume,PE.impliedVolatility,PE.lastPrice,PE.change,PE.pChange,PE.totalBuyQuantity,PE.totalSellQuantity,PE.bidQty,PE.bidprice,PE.askQty,PE.askPrice,PE.underlyingValue,CE.strikePrice,CE.expiryDate,CE.underlying,CE.identifier,CE.openInterest,CE.changeinOpenInterest,CE.pchangeinOpenInterest,CE.totalTradedVolume,CE.impliedVolatility,CE.lastPrice,CE.change,CE.pChange,CE.totalBuyQuantity,CE.totalSellQuantity,CE.bidQty,CE.bidprice,CE.askQty,CE.askPrice,CE.underlyingValue
22250,10-Apr-2024,22250.0,10-Apr-2024,NIFTY,OPTIDXNIFTY10-04-2024PE22250.00,26811.0,7512.0,38.924296595678534,49645.0,17.85,17.25,-15.799999999999997,-47.806354009077154,169450.0,205550.0,9050.0,17.0,4050.0,17.1,22605.8,22250.0,10-Apr-2024,NIFTY,OPTIDXNIFTY10-04-2024CE22250.00,2396.0,-1.0,-0.041718815185648725,1031.0,16.37,363.4,47.549999999999955,15.054614532214645,36300.0,32450.0,200.0,367.4,50.0,368.55,22605.8
22250,18-Apr-2024,22250.0,18-Apr-2024,NIFTY,OPTIDXNIFTY18-04-2024PE22250.00,1606.0,157.0,10.835058661145618,2089.0,12.92,54.15,-17.949999999999996,-24.895977808599167,41800.0,42150.0,1050.0,53.75,1500.0,54.0,22605.8,22250.0,18-Apr-2024,NIFTY,OPTIDXNIFTY18-04-2024CE22250.00,210.0,66.0,45.833333333333336,96.0,11.28,437.75,49.80000000000001,12.836705761051686,12050.0,6200.0,400.0,441.25,400.0,443.75,22605.8
22250,25-Apr-2024,22250.0,25-Apr-2024,NIFTY,OPTIDXNIFTY25-04-2024PE22250.00,2533.0,54.0,2.1782977006857602,906.0,12.73,86.2,-21.5,-19.96285979572888,40800.0,31150.0,750.0,85.45,1600.0,85.8,22605.8,22250.0,25-Apr-2024,NIFTY,OPTIDXNIFTY25-04-2024CE22250.00,822.0,18.0,2.2388059701492535,73.0,11.7,514.2,57.35000000000002,12.553354492721905,7500.0,13750.0,50.0,512.7,50.0,515.7,22605.8
22250,02-May-2024,22250.0,02-May-2024,NIFTY,OPTIDXNIFTY02-05-2024PE22250.00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5450.0,7250.0,900.0,106.65,900.0,123.5,22605.8,22250.0,02-May-2024,NIFTY,OPTIDXNIFTY02-05-2024CE22250.00,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100.0,2500.0,600.0,564.15,100.0,592.75,22605.8
22250,09-May-2024,22250.0,09-May-2024,NIFTY,OPTIDXNIFTY09-05-2024PE22250.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4500.0,4500.0,900.0,115.75,900.0,143.6,22605.8,,,,,,,,,,,,,,,,,,,
22250,30-May-2024,22250.0,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024PE22250.00,101.0,2.0,2.0202020202020203,9.0,13.05,187.65,-19.400000000000006,-9.369717459550836,4950.0,3200.0,50.0,181.8,50.0,189.1,22605.8,22250.0,30-May-2024,NIFTY,OPTIDXNIFTY30-05-2024CE22250.00,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2250.0,4500.0,50.0,726.8,50.0,757.1,22605.8
22250,27-Jun-2024,22250.0,27-Jun-2024,NIFTY,OPTIDXNIFTY27-06-2024PE22250.00,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950.0,1850.0,50.0,327.45,50.0,342.5,22605.8,22250.0,27-Jun-2024,NIFTY,OPTIDXNIFTY27-06-2024CE22250.00,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1850.0,2750.0,50.0,978.0,50.0,1028.2,22605.8
22300,10-Apr-2024,22300.0,10-Apr-2024,NIFTY,OPTIDXNIFTY10-04-2024PE22300.00,94682.0,7802.0,8.980202578268877,128519.0,17.3,22.15,-19.5,-46.818727490996395,257550.0,483100.0,4500.0,22.1,9700.0,22.2,22605.8,22300.0,10-Apr-2024,NIFTY,OPTIDXNIFTY10-04-2024CE22300.00,13616.0,-360.0,-2.575844304522038,6620.0,17.46,323.35,49.25,17.96789492885808,152100.0,46450.0,50.0,324.5,250.0,325.3,22605.8
22300,18-Apr-2024,22300.0,18-Apr-2024,NIFTY,OPTIDXNIFTY18-04-2024PE22300.00,5225.0,767.0,17.205024674742038,4278.0,12.7,62.75,-21.099999999999994,-25.163983303518183,64650.0,66400.0,200.0,62.9,100.0,63.1,22605.8,22300.0,18-Apr-2024,NIFTY,OPTIDXNIFTY18-04-2024CE22300.00,896.0,37.0,4.307334109429569,419.0,11.71,396.6,51.85000000000002,15.039883973894133,32350.0,17500.0,50.0,401.9,100.0,403.0,22605.8
22300,25-Apr-2024,22300.0,25-Apr-2024,NIFTY,OPTIDXNIFTY25-04-2024PE22300.00,30092.0,923.0,3.1643182831087797,5811.0,12.63,96.6,-24.450000000000003,-20.198265179677822,59050.0,90900.0,50.0,96.3,600.0,96.6,22605.8,22300.0,25-Apr-2024,NIFTY,OPTIDXNIFTY25-04-2024CE22300.00,14390.0,1022.0,7.645122681029323,1929.0,11.42,475.25,61.10000000000002,14.753108777013166,18650.0,31950.0,400.0,474.7,50.0,475.45,22605.8
22300,02-May-2024,22300.0,02-May-2024,NIFTY,OPTIDXNIFTY02-05-2024PE22300.00,167.0,2.0,1.2121212121212122,90.0,12.95,130.0,-17.69999999999999,-11.983750846310082,12200.0,14400.0,1800.0,126.05,650.0,131.05,22605.8,22300.0,02-May-2024,NIFTY,OPTIDXNIFTY02-05-2024CE22300.00,104.0,3.0,2.9702970297029703,10.0,11.96,543.75,50.75,10.294117647058822,2950.0,4650.0,50.0,544.1,100.0,553.8,22605.8
22300,09-May-2024,22300.0,09-May-2024,NIFTY,OPTIDXNIFTY09-05-2024PE22300.00,6.0,1.0,20.0,4.0,12.75,147.5,-23.30000000000001,-13.641686182669796,4200.0,6350.0,300.0,141.4,200.0,157.25,22605.8,22300.0,09-May-2024,NIFTY,OPTIDXNIFTY09-05-2024CE22300.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3550.0,5400.0,850.0,575.8,900.0,618.1,22605.8
